symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
UDR,ARCA,largecap,USD,"UDR, Inc.",Real Estate,Residential REITs,1994-01-03,2020-05-08
UHS,ARCA,largecap,USD,"Universal Health Services, Inc.",Health Care,Health Care Facilities,1994-01-03,2020-05-11
ULTA,ARCA,largecap,USD,Ulta Beauty,Consumer Discretionary,Specialty Stores,2007-10-25,2020-05-11
UNH,ARCA,largecap,USD,United Health Group Inc.,Health Care,Managed Health Care,1994-01-03,2020-05-08
UNM,ARCA,largecap,USD,Unum Group,Financials,Life & Health Insurance,1994-01-03,2020-05-11
UNP,ARCA,largecap,USD,Union Pacific Corp,Industrials,Railroads,1994-01-03,2020-05-11
UPS,ARCA,largecap,USD,United Parcel Service,Industrials,Air Freight & Logistics,1999-11-10,2020-05-11
URI,ARCA,largecap,USD,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,1997-12-18,2020-05-11
USB,ARCA,largecap,USD,U.S. Bancorp,Financials,Diversified Banks,1994-01-03,2020-05-11
V,ARCA,largecap,USD,Visa Inc.,Information Technology,Data Processing & Outsourced Services,2008-03-19,2020-05-11
VAR,ARCA,largecap,USD,Varian Medical Systems,Health Care,Health Care Equipment,1994-01-03,2020-05-11
VFC,ARCA,largecap,USD,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1994-01-03,2020-05-11
VIAC,ARCA,largecap,USD,ViacomCBS,Information Technology,Movies & Entertainment,2019-06-26,2020-05-08
VLO,ARCA,largecap,USD,Valero Energy,Energy,Oil & Gas Refining & Marketing,1994-01-03,2020-05-11
VMC,ARCA,largecap,USD,Vulcan Materials,Materials,Construction Materials,1994-01-03,2020-05-11
VNO,ARCA,largecap,USD,Vornado Realty Trust,Real Estate,Office REITs,1994-01-03,2020-05-11
VRSK,ARCA,largecap,USD,Verisk Analytics,Industrials,Research & Consulting Services,2009-10-07,2020-05-11
VRSN,ARCA,largecap,USD,Verisign Inc.,Information Technology,Internet Services & Infrastructure,1998-01-30,2020-05-11
VRTX,ARCA,largecap,USD,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,1994-01-03,2020-05-11
VTR,ARCA,largecap,USD,Ventas Inc,Real Estate,Health Care REITs,1997-05-05,2020-05-11
VZ,ARCA,largecap,USD,Verizon Communications,Information Technology,Integrated Telecommunication Services,1994-01-03,2020-05-08
WAB,ARCA,largecap,USD,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,1995-06-16,2020-05-11
WAT,ARCA,largecap,USD,Waters Corporation,Health Care,Health Care Distributors,1995-11-17,2020-05-11
WBA,ARCA,largecap,USD,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1994-01-03,2020-05-11
WDC,ARCA,largecap,USD,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",1994-01-03,2020-05-11
WEC,ARCA,largecap,USD,Wec Energy Group Inc,Utilities,Electric Utilities,1994-01-03,2020-05-08
WELL,ARCA,largecap,USD,Welltower Inc.,Real Estate,Health Care REITs,1994-01-03,2020-05-11
WFC,ARCA,largecap,USD,Wells Fargo,Financials,Diversified Banks,1994-01-03,2020-05-11
WHR,ARCA,largecap,USD,Whirlpool Corp.,Consumer Discretionary,Household Appliances,1994-01-03,2020-05-11
WLTW,ARCA,largecap,USD,Willis Towers Watson,Financials,Insurance Brokers,2001-06-12,2020-05-05
WM,ARCA,largecap,USD,Waste Management Inc.,Industrials,Environmental & Facilities Services,1994-01-03,2020-05-05
WMB,ARCA,largecap,USD,Williams Cos.,Energy,Oil & Gas Storage & Transportation,1994-01-03,2020-05-05
WMT,ARCA,largecap,USD,Walmart,Consumer Staples,Hypermarkets & Super Centers,1994-01-03,2020-05-11
WRB,ARCA,largecap,USD,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,1994-01-03,2020-05-08
WRK,ARCA,largecap,USD,WestRock,Materials,Paper Packaging,2015-06-24,2020-05-11
WU,ARCA,largecap,USD,Western Union Co,Information Technology,Data Processing & Outsourced Services,2006-10-02,2020-05-05
WY,ARCA,largecap,USD,Weyerhaeuser,Real Estate,Specialized REITs,1994-01-03,2020-05-11
WYNN,ARCA,largecap,USD,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2002-10-25,2020-05-05
XEC,ARCA,largecap,USD,Cimarex Energy,Energy,Oil & Gas Exploration & Production,2002-09-25,2020-05-11
XEL,ARCA,largecap,USD,Xcel Energy Inc,Utilities,Multi-Utilities,1994-01-03,2020-05-11
XLNX,ARCA,largecap,USD,Xilinx,Information Technology,Semiconductors,1994-01-03,2020-05-11
XOM,ARCA,largecap,USD,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,1994-01-03,2020-05-11
XRAY,ARCA,largecap,USD,Dentsply Sirona,Health Care,Health Care Supplies,1994-01-03,2020-05-11
XRX,ARCA,largecap,USD,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",1994-01-03,2020-05-05
XYL,ARCA,largecap,USD,Xylem Inc.,Industrials,Industrial Machinery,2011-10-13,2020-05-11
YUM,ARCA,largecap,USD,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-09-17,2020-05-11
ZBH,ARCA,largecap,USD,Zimmer Biomet Holdings,Health Care,Health Care Equipment,2001-07-25,2020-05-11
ZBRA,ARCA,largecap,USD,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,1994-01-03,2020-05-11
ZION,ARCA,largecap,USD,Zions Bancorp,Financials,Regional Banks,1994-01-03,2020-05-11
ZTS,ARCA,largecap,USD,Zoetis,Health Care,Pharmaceuticals,2013-02-01,2020-05-11
